id,section,text,tip,chapter,region,reward,missable,notes
"collect-dino","collectibles","Dinosaur Bones (30 Total)","🦴 See ""A Test of Faith"" in Stranger Missions. Full detailed list there.","","","Jawbone Knife + Quartz Chunk","",""
"collect-rock","collectibles","Rock Carvings (10 Total)","🗿 See ""Geology for Beginners"" in Stranger Missions.","","","Old Brass Compass (Raven Talisman ingredient)","",""
"collect-cig","collectibles","Cigarette Cards (144 Total - 12 Sets)","🃏 See ""Cigarette Cards"" section for all 12 sets.","","","Vintage Civil War Handcuffs + cash","",""
"collect-graves","collectibles","Graves (9 Total)","🪦 See ""Gang Member Graves"" section.","epilogue","","Paying Respects Trophy","",""
"collect-hunting","collectibles","Hunting Requests (5 Total)","🐿️ See ""Hunting Requests"" in Stranger Missions.","","","Squirrel Statue","",""
"collect-points-interest","collectibles","Points of Interest (50+)","🗺️ Discover unique locations that get marked on your map.","","","Compendium entries","",""
"comp-charles-hunt","companion-activities","Hunting with Charles","🏹 White icon at camp. Teaches bow hunting basics.","","","Bow Training","YES",""
"comp-javier-chez","companion-activities","Rob Chez Porter with Javier","O'Driscoll hideout north of Valentine. Stealth or loud.","","","Loot + Honor","YES",""
"comp-lenny-filet","companion-activities","Five Finger Fillet with Lenny","🎮 Camp game. Beat him to win money.","","","Money","YES",""
"comp-uncle-cattle","companion-activities","Cattle Rustling with Uncle","🐄 Steal cattle together. Uncle is... Uncle.","","","Money + Comedy","YES",""
"comp-sean-lonnie","companion-activities","Rob Lonnie","🍺 Drunken robbery. Sean is HILARIOUS drunk.","","","Loot + Laughs","YES",""
"comp-javier-fish","companion-activities","Fishing with Javier","🎣 Relaxing trip. Good dialogue about his past.","","","Character Development","YES",""
"comp-kieran-fish","companion-activities","Fishing with Kieran","🎣 He's nervous but friendly. Do this BEFORE Chapter 4...","","","Feels","YES",""
"comp-bill-coach","companion-activities","Rob Coach with Bill","🚃 Alden at Rhodes station gives tip. Bill is chaotic.","","","Coach Loot","YES",""
"comp-sean-coach","companion-activities","Rob Coach with Sean","🍺 Another drunk heist. Peak Sean energy.","","","Coach Loot","YES",""
"comp-micah-filet","companion-activities","Five Finger Fillet with Micah","🐍 He cheats. Beat him anyway.","","","Satisfaction","YES",""
"comp-tilly-dominoes","companion-activities","Dominoes with Tilly","🎲 Camp game. She's surprisingly competitive.","","","Gambling Progress","YES",""
"comp-pearson-hunt","companion-activities","Hunting with Pearson","🦌 Rare activity. Good stories about his navy days.","","","Pearson Character Arc","YES",""
"comp-lenny-coach","companion-activities","Rob Coach with Lenny","🚃 Professional heist. Lenny is reliable.","","","Coach Loot","YES",""
"comp-micah-coach","companion-activities","Rob Coach with Micah","🐍 He makes it violent. Expect chaos and high bounty.","","","Coach Loot + Bounty","YES",""
"comp-charles-bank","companion-activities","⭐ Bank Robbery with Charles","💰 SPECIAL/ULTIMATE EDITION ONLY. Rob Rhodes Bank.","","","Bank Loot","YES",""
"comp-trophy","companion-activities","🏆 Friends With Benefits Trophy","Complete 1 companion activity per camp (Ch2-4) for achievement.","","","Trophy/Achievement","",""
"hideout-six-point","gang-hideouts","Six Point Cabin (O","NE of Valentine, Cumberland Forest. Chapter 2 story.","2","","Hideout Cleared","",""
"hideout-shady-belle","gang-hideouts","Shady Belle (Lemoyne Raiders)","Bayou Nwa, south of Caliga Hall. Becomes camp in Ch4.","3","","New Camp Location","",""
"hideout-hanging-dog","gang-hideouts","Hanging Dog Ranch (O","W of Valentine, near Little Creek River. Ch6 story.","6","","Hideout Cleared","",""
"hideout-beaver-hollow","gang-hideouts","Beaver Hollow (Murfree Brood)","W of Annesburg, Roanoke Ridge. Cleared in Ch5 story mission.","5","","Final Camp Location","",""
"hideout-fort-mercer","gang-hideouts","Fort Mercer (Del Lobos)","New Austin, S of Armadillo. ⚠️ EPILOGUE ONLY!","epilogue","","Hideout Cleared + Loot","",""
"hideout-thieves-landing","gang-hideouts","Thieves","New Austin, S of Blackwater. ⚠️ EPILOGUE ONLY!","epilogue","","Hideout Cleared + Fence Access","",""
"hideout-gaptooth","gang-hideouts","Gaptooth Breach (Del Lobos)","Gaptooth Ridge, W of Tumbleweed. Epilogue only.","epilogue","","","",""
"hideout-twin-rocks","gang-hideouts","Twin Rocks (Del Lobos) ⭐","Cholla Springs, N of Armadillo. Special/Ultimate Edition.","epilogue","","","",""
"hideout-solomons","gang-hideouts","Solomon","S of Benedict Point, New Austin. Guarded basement.","epilogue","","","",""
"hideout-tip-stealth","gang-hideouts","Use Stealth","🏹 Approach at night with bow. Take out sentries silently.","","","","",""
"hideout-tip-deadeye","gang-hideouts","Dead Eye Tonics","🎯 Bring Snake Oil. Dead Eye makes clearing easier.","","","","",""
"hideout-tip-loot","gang-hideouts","Loot Everything","💰 Check all bodies and buildings after the fight.","","","","",""
"hideout-tip-respawn","gang-hideouts","Respawn Mechanic","🔄 Most hideouts respawn after a few in-game days.","","","","",""
"grave-jenny","graves","Jenny Kirk","Near Colter, snowy area. Died during Blackwater heist.","2","","","YES",""
"grave-davey","graves","Davey Callender","Near Colter, by Jenny's grave. Died from Blackwater wounds.","2","","","YES",""
"grave-sean","graves","Sean MacGuire","Scarlett Meadows, after Rhodes mission.","3","","","YES",""
"grave-kieran","graves","Kieran Duffy","Near Shady Belle, after O'Driscoll revenge.","4","","","YES",""
"grave-hosea","graves","Hosea Matthews","Near Bluewater Marsh, after Saint Denis bank.","4","","","YES",""
"grave-lenny","graves","Lenny Summers","Near Hosea's grave, after Saint Denis bank.","4","","","YES",""
"grave-eagle","graves","Eagle Flies","Wapiti Indian Reservation, after oil factory.","6","","","YES",""
"grave-susan","graves","Susan Grimshaw","Near Beaver Hollow camp ruins.","6","","","YES",""
"grave-arthur","graves","Arthur Morgan","EPILOGUE. East of Bacchus Station. Visit as John.","epilogue","","","YES",""
"leg-bear","legendary-animals","Legendary Bharati Grizzly Bear","North of O'Creagh's Run. AGGRESSIVE! Springfield or Rolling Block to head.","","","Bear Claw Talisman","",""
"leg-bison-white","legendary-animals","Legendary White Bison","Lake Isabella, NW near Mount Hagen. High-powered rifle headshot.","","","White Bison Hat","",""
"leg-wolf","legendary-animals","Legendary Wolf","Cotorra Springs geyser area. Best at dawn. Sniper first, then Dead Eye.","","","Wolf Heart Trinket","",""
"leg-ram","legendary-animals","Legendary Bighorn Ram","East of Cattail Pond, near Valentine. Bow or rifle headshot. Cover scent helps.","","","Ram Horn Trinket","",""
"leg-elk","legendary-animals","Legendary Elk","East of Bacchus Station, Cumberland Forest. Springfield or bow to vitals.","","","Elk Antler Trinket","",""
"leg-buck","legendary-animals","Legendary Buck ⭐","NW of Strawberry, Black Bone Forest. HUNT FIRST for +pelt quality!","","","Buck Antler Trinket","YES",""
"leg-coyote","legendary-animals","Legendary Coyote","Scarlett Meadows near Dewberry Creek, NW of Rhodes. Fast - one-shot with Springfield.","","","Coyote Fang Trinket","",""
"leg-fox","legendary-animals","Legendary Fox","North of Rhodes near Mattock Pond. Small target - Varmint Rifle or bow.","","","Fox Claw Trinket","",""
"leg-boar","legendary-animals","Legendary Boar","Bluewater Marsh, north of Lagras. Springfield or poison arrows.","","","Boar Tusk Talisman","",""
"leg-beaver","legendary-animals","Legendary Beaver","Butcher Creek area, west of Van Horn. Albino beaver - Varmint Rifle one-shot.","","","Beaver Tooth Trinket","",""
"leg-alligator","legendary-animals","Legendary Bullgator","Lakay, Bayou Nwa. ⚠️ Chapter 4+ only. Rolling Block + shotgun backup!","4","","Alligator Tooth Talisman","",""
"leg-panther","legendary-animals","Legendary Giaguaro Panther ⭐","Bolger Glade, south of Braithwaite Manor. ⚠️ Requires Master Hunter 9!","","","Panther's Eye Trinket","YES",""
"leg-moose","legendary-animals","Legendary Moose","Near Brandywine Drop, NE corner. RARE SPAWN - camp nearby, sleep repeatedly.","","","Moose Antler Trinket","",""
"leg-cougar","legendary-animals","Legendary Cougar","Gaptooth Ridge, west of Tumbleweed. DEADLY - Dead Eye + shotgun!","epilogue","","Cougar Fang Trinket","",""
"leg-pronghorn","legendary-animals","Legendary Pronghorn","Del Lobo Rock, SE of Fort Mercer. Fast runner - sniper essential.","epilogue","","Pronghorn Horn Trinket","",""
"leg-bison-tatanka","legendary-animals","Legendary Tatanka Bison","Hennigan's Stead, SE of MacFarlane's Ranch. Docile but tough.","epilogue","","Tatanka Bison Horn Trinket","",""
"fish-bluegill","legendary-animals","Bluegill (Flat Iron Lake)","Near Rhodes. Special Lake Lure.","","","","",""
"fish-bass-large","legendary-animals","Largemouth Bass (San Luis River)","New Austin area. ⚠️ Epilogue. Special Lake Lure.","epilogue","","","",""
"fish-bass-small","legendary-animals","Smallmouth Bass (Owanjila Lake)","Near Strawberry. Special Lake Lure.","","","","",""
"fish-bass-rock","legendary-animals","Rock Bass (Aurora Basin)","Tall Trees area. Special Lake Lure.","","","","",""
"fish-bass-striped","legendary-animals","Striped Bass (San Luis River)","Rio Bravo, New Austin. ⚠️ Epilogue. Special River Lure.","epilogue","","","",""
"fish-perch","legendary-animals","Perch (Elysian Pool)","Roanoke Ridge. Special Lake Lure.","","","","",""
"fish-pickerel","legendary-animals","Chain Pickerel (Dakota River)","Near Valentine. Special River Lure.","","","","",""
"fish-muskie","legendary-animals","Muskie (O","Same lake as Hamish. Special Lake Lure.","","","","",""
"fish-gar","legendary-animals","Longnose Gar (Lagras)","Bayou Nwa swamp. Special Swamp Lure.","","","","",""
"fish-salmon","legendary-animals","Sockeye Salmon (Lake Isabella)","Far north, snowy. Special Lake Lure.","","","","",""
"fish-steelhead","legendary-animals","Steelhead Trout (Willard","Near Charlotte's cabin. Special River Lure.","","","","",""
"fish-sturgeon","legendary-animals","Lake Sturgeon (Flat Iron Lake)","South of Rhodes. Special Lake Lure.","","","","",""
"fish-catfish","legendary-animals","Channel Catfish (Sisika Island)","Prison island area. ⚠️ Epilogue easier. Special River Lure.","epilogue","","","",""
"missable-bolt-action","missable","Bolt Action Rifle (Free)","""The First Shall Be Last"" mission. Kill LEFT bounty hunter fast.","2","","Bolt Action Rifle","YES",""
"missable-rare-shotgun","missable","Rare Shotgun","🔫 Cabin NW of Annesburg. Hermit attacks you. ONE CHANCE to loot!","2","","Rare Shotgun (Unique)","YES",""
"missable-rolling-block","missable","Rare Rolling Block Rifle","🎯 ""Magicians for Sport"" Ch3. Inside Braithwaite barn. Loot bounty hunter!","3","","Rare Rolling Block Rifle","YES",""
"missable-gunslinger-guns","missable","Gunslinger Revolvers (4 Unique Weapons)","🔫 ""Noblest of Men"" quest. LOOT BODIES IMMEDIATELY after each duel!","2","","4 Unique Weapons","YES",""
"missable-jimmy-pen","missable","Jimmy Brooks","✍️ Ch2 debt collection. SPARE him on cliff edge. He gives you his pen.","2","","Jimmy Brooks' Pen","YES",""
"missable-mary-missions","missable","Mary Linton Missions (3 Parts)","💔 Complete all before Chapter 6 ends. Emotional storyline.","6","","Story Content + Closure","YES",""
"missable-edith-downes","missable","Edith Downes Missions (2 Parts)","Saint Denis slums. After debt collection. Redemption.","6","","Redemption + Honor","YES",""
"missable-veteran","missable","The Veteran (Hamish Sinclair)","O'Creagh's Run. 4 Parts. Final part gives Buell the horse.","6","","Buell (Horse)","YES",""
"missable-widow","missable","The Widow (Charlotte Balfour)","North of Annesburg. 3 Parts. Teaching survival.","6","","Story Content + Food Gifts","YES",""
"missable-pearson-jacket","missable","Pearson","🐰 Donate a rabbit carcass to Pearson. Chapters 2-3 only.","3","","Scout Jacket (Unique)","YES",""
"missable-kieran","missable","Fishing with Kieran","🎣 Chapter 3 only. Before Kieran's fate.","3","","Character Moment","YES",""
"missable-chicks-treasure","missable","Chick","🖼️ Painting in Shady Belle. Inspect BEFORE leaving in Chapter 4.","4","","Chick's Treasure Map","YES",""
"missable-lenny","missable","A Quiet Time (Lenny Night)","🍺 Valentine bar. AUTOMATIC story mission. Not actually missable!","2","","Legendary Memory","YES",""
"missable-owl-trinket","missable","Owl Feather Trinket","🦉 ""Archeology for Beginners"" Ch6. Help Rains Fall WITHOUT killing anyone.","6","","Owl Feather Trinket","YES",""
"missable-guarma","missable","Guarma Animals (Chapter 5)","🦜 STUDY these in Guarma or NEVER get 100% compendium!","5","","Compendium Entries","YES",""
"missable-camp-requests","missable","Camp Companion Requests","🔍 Gang members ask for items (pipe, book, etc.). Check scouting icon.","4","","","YES",""
"missable-high-honor","missable","High Honor Missions","😇 Some stranger encounters require high honor to access.","","","","YES",""
"missable-do-not-seek","missable","Do Not Seek Absolution I & II","⛪ Brother Dorkins. High honor required. Saint Denis church.","6","","Absolution + Honor","YES",""
"serial-clue-1","mysteries","Clue 1: Wallace Station","SW of Valentine, S of Wallace Station. Map piece in severed head.","","","","",""
"serial-clue-2","mysteries","Clue 2: Valentine South","Between Citadel Rock & Caster's Ridge. Body under railroad.","","","","",""
"serial-clue-3","mysteries","Clue 3: Braithwaite Manor","East of Braithwaite Manor. ""BEHOLD"" written. Final piece.","","","","",""
"serial-cabin","mysteries","Confront the Killer ⭐","Lucky\'s Cabin (S of Valentine). ""Stranger"" icon appears.","","","","YES",""
"vampire-graffiti-1","mysteries","Graffiti 1: Near Outdoor Market","Close to Trapper/Fence in SE Saint Denis.","","","","",""
"vampire-graffiti-2","mysteries","Graffiti 2: Soup Kitchen","Across from Doyle's Tavern. Northern wall of red apartment.","","","","",""
"vampire-graffiti-3","mysteries","Graffiti 3: Alleyway","Between Gaillard's Shoes and antiques shop.","","","","",""
"vampire-graffiti-4","mysteries","Graffiti 4: Church Area","Near St. Denis Cathedral southern wall.","","","","",""
"vampire-graffiti-5","mysteries","Graffiti 5: Back Streets","Behind the general store area.","","","","",""
"vampire-encounter","mysteries","Kill the Vampire ⭐","⏰ 12:00-1:00 AM ONLY! Alley south of general store. Skull icon on map.","","","","YES",""
"ufo-cult-shack","mysteries","UFO 1: Hani","Between N and O of ""New Hanover"" on map. Dead cultists inside.","","","Mysterious Note","",""
"ufo-cult-trigger","mysteries","UFO 1: Trigger at 2:00 AM","⏰ Return to shack at 2:00 AM. Green glow, UFO hovers above!","","","","",""
"ufo-shann","mysteries","UFO 2: Mount Shann Peak","Peak of Mount Shann (NW of Strawberry). Go at night.","","","","",""
"ufo-shann-trigger","mysteries","UFO 2: Witness at Peak","⏰ Stand at very top at night. A second, different UFO appears!","","","","",""
"ghost-agnes","mysteries","Ghost of Agnes Dowd ⭐","NW Bluewater Marsh, 9PM-3AM, foggy. Appears 16 TIMES!","","","","YES",""
"ghost-train","mysteries","Ghost Train 🚂","Scarlett Meadows, S of Old Greenbank Mill. 3:00 AM. ONCE per playthrough!","","","","",""
"bigfoot-skeleton","mysteries","Giant Skeleton","Cave at top of Mount Shann. Massive humanoid skeleton!","","","","",""
"bigfoot-voice","mysteries","Talking Giant (Bigfoot)","Grizzlies East, E of Wapiti. REQUIRES: Study 30+ animal species first!","","","","",""
"robot-meet","mysteries","Part 1: Meet Marko","SW Saint Denis park. Chapter 4+. Help with RC boat demo.","","","","",""
"robot-lab","mysteries","Part 2: Doverhill Lab","Doverhill (far NE map). Lightning experiment. Robot comes alive!","","","Electric Lantern","",""
"robot-final","mysteries","Part 3: Find the Robot","Return to lab later → Marko dead. Robot on mountain near Colter.","","","","",""
"sinclair-meet","mysteries","Meet Francis Sinclair","Small cabin NW of Strawberry. Note his modern speech + birthmark!","","","","",""
"sinclair-carvings","mysteries","Find All 10 Rock Carvings","See Rock Carvings in Collectibles. Carvings show impossible things...","","","","",""
"sinclair-ending","mysteries","Return to Cabin ⭐","⚠️ After all carvings → woman with baby has SAME BIRTHMARK. Time loop!","","","","YES",""
"mystery-strange-man","mysteries","The Strange Man","Cabin near Bayall Edge. Mirror reflects RDR1 character. Painting completes over time.","","","","",""
"mystery-witch","mysteries","Witch","N of Annesburg in swamp. Bubbling cauldron. Drink for strange effect!","","","","",""
"mystery-devil","mysteries","Devil","Big Valley cave. Man claims to be the Devil. Creepy dialogue.","","","","",""
"mystery-feral","mysteries","Feral Man 🐺","Roanoke Ridge. Wild man living with wolf pack.","","","","",""
"mystery-pagan","mysteries","Pagan Ritual Site ⛧","Big Valley, West Elizabeth. Disturbing sacrifice scene.","","","","",""
"mystery-tiny-church","mysteries","Tiny Church ⛪","Bayou Nwa. Miniature uninhabited white church. Unexplained...","","","","",""
"mystery-viking","mysteries","Viking Tomb ⚔️","NW of Annesburg. Ancient Viking burial. Get Viking Hatchet + Helmet!","","","Viking Hatchet + Helmet","",""
"mystery-meteor","mysteries","Meteor Crash Sites ☄️","☄️ Roanoke Ridge. TWO fragments: collapsed shed + crater nearby!","","","","",""
"mystery-aberdeen","mysteries","Aberdeen Pig Farm 🐷","⚠️ Scarlett Meadows. Cannibal siblings trap travelers. Money exploit!","","","","",""
"mystery-mutant","mysteries","Man-Made Mutant 🧪","🏠 Abandoned house W of Van Horn. Climb to 2nd floor window!","","","","",""
"mystery-ikz","mysteries","Princess IKZ Mystery 👑","🔍 Missing princess poster in Van Horn. Chest with her initials at Fence. UNSOLVED!","","","","",""
"mystery-statues","mysteries","Strange Statues Puzzle 🗿","💰 NE of Fort Wallace. Circle of statues = gold bar puzzle!","","","Gold Bars","",""
"pamph-explosive-slug","pamphlets","Explosive Slug Pamphlet","Burned house near Gaptooth Ridge. OR Fence ($90) after ""A Short Walk in a Pretty Town"".","","","1 Slug Shell + 1 Animal Fat","",""
"pamph-express-explosive","pamphlets","Express Explosive Pamphlet","Available from start of Chapter 2.","","","1 Express Cartridge + 1 Animal Fat","",""
"pamph-incendiary-buckshot","pamphlets","Incendiary Buckshot Pamphlet","Copperhead Landing cabin floorboard. OR Fence ($80) after ""Pouring Forth Oil I"".","","","1 Shotgun Shell + 1 Moonshine","",""
"pamph-fire-arrow","pamphlets","Fire Arrow Pamphlet","Fence ($75). Requires Animal Fat.","","","1 Arrow + 1 Animal Fat + 1 Flight Feather","",""
"pamph-poison-arrow","pamphlets","Poison Arrow Pamphlet","Lockbox NE of Bacchus Station. OR Charles bison hunt. OR Fence.","","","1 Arrow + 1 Oleander Sage + 1 Flight Feather","",""
"pamph-dynamite-arrow","pamphlets","Dynamite Arrow Pamphlet","Lockbox S of Wapiti Reservation. OR Fence after quest.","","","1 Arrow + 1 Dynamite + 1 Flight Feather","",""
"pamph-improved-arrow","pamphlets","Improved Arrow Pamphlet","Fence ($350). Better penetration for large game.","","","1 Arrow + 1 Flight Feather","",""
"pamph-small-game-arrow","pamphlets","Small Game Arrow Pamphlet","Fence. Essential for perfect small pelts!","","","1 Arrow + 1 Shotgun Shell + 1 Flight Feather","YES",""
"pamph-tracking-arrow","pamphlets","Tracking Arrow Pamphlet","Complete ""Hunting for Sport"" with Charles.","","","1 Arrow + 1 Indian Tobacco + 1 Flight Feather","",""
"pamph-poison-knife","pamphlets","Poison Throwing Knife Pamphlet","Shack N of Saint Denis. OR Charles quest. OR Fence.","","","1 Throwing Knife + 1 Oleander Sage","",""
"pamph-improved-knife","pamphlets","Improved Throwing Knife Pamphlet","Fence ($45). Better range and damage.","","","1 Throwing Knife + 1 Owl Feather","",""
"pamph-homing-tomahawk","pamphlets","Homing Tomahawk Pamphlet","Fence. Slight homing capability.","","","1 Tomahawk + 1 Owl Feather","",""
"pamph-volatile-dynamite","pamphlets","Volatile Dynamite Pamphlet","Lockbox at Hani's Bethel. OR Fence after 'American Distillation'.","","","1 Dynamite + 1 Animal Fat + 1 High-Velocity Cartridge","",""
"pamph-volatile-fire-bottle","pamphlets","Volatile Fire Bottle Pamphlet","Fence ($95). Bigger explosion.","","","1 Fire Bottle + 1 Animal Fat","",""
"pamph-potent-health","pamphlets","Potent Health Cure Pamphlet","Near Annesburg mining area. OR Fence.","","","1 Ginseng + 1 Yarrow","",""
"pamph-potent-bitters","pamphlets","Potent Snake Oil Pamphlet","Fence. Dead Eye restoration.","","","1 Indian Tobacco + 1 Sage","",""
"pamph-horse-reviver","pamphlets","Horse Reviver Pamphlet","Fence. Bring back downed horse!","","","1 Sage + 1 Health Cure","YES",""
"pamph-horse-stimulant","pamphlets","Horse Stimulant Pamphlet","Fence. Restore horse stamina.","","","1 Burdock Root + 1 Oleander Sage","",""
"pamph-special-miracles","pamphlets","Special Miracle Tonic Pamphlet","Fence after Chapter 3. Full core restore!","3","","1 Valerian Root + 1 Yarrow + 1 Ginseng","",""
"pamph-cover-scent","pamphlets","Cover Scent Lotion Pamphlet","Early game Fence. Mask your scent from animals.","","","1 Sage + 1 Oregano","YES",""
"pamph-potent-predator-bait","pamphlets","Potent Predator Bait Pamphlet","Fence. Attracts predators faster.","","","2 Meat + 1 Blackberry","",""
"pamph-potent-herbivore-bait","pamphlets","Potent Herbivore Bait Pamphlet","Fence. Attracts herbivores faster.","","","2 Berries + 1 Vanilla Flower","",""
"pamph-special-horse-food","pamphlets","Special Horse Food Pamphlet","Fence. Best horse core restoration.","","","1 Big Game Meat + 1 Apple + 1 Hay","",""
"guns-emmet","strangers","Defeat Emmet Granger","Farm east of Flatneck Station. Clean pigsty, then duel.","","","Granger's Revolver","",""
"guns-flaco","strangers","Defeat Flaco Hernandez","Cairn Lake cabin, Ambarino. Fight gang, then duel.","","","Flaco's Revolver","",""
"guns-billy","strangers","Defeat Billy Midnight","Rhodes train station. Chase on train, duel on roof.","","","Midnight's Pistol","",""
"guns-belle","strangers","Help Black Belle","Bluewater Marsh. Defend from bounty hunters (no duel).","","","Photo for Levin","",""
"guns-slim","strangers","Rescue Slim Grant","Annesburg sheriff → rescue Grant from bandits.","","","","",""
"guns-calloway","strangers","Final: Duel Jim Boy Calloway","Saint Denis riverboat. Final confrontation.","","","Calloway's Revolver","YES",""
"bone-30","strangers","Hennigan","⚠️ EPILOGUE. North of ""San"" in San Luis, small shore","epilogue","","","",""
"carving-10","strangers","Elysian Pool","Near east shore of Elysian Pool","","","","",""
"veteran-01","strangers","Part 1: Recover Buell","Find Hamish by rock at O'Creagh's Run. Catch his horse Buell.","","","","",""
"veteran-02","strangers","Part 2: Fishing Trip","After 1 day. Catch ""The Great Tyrant"" legendary pike. 6AM-6PM only.","","","","",""
"veteran-03","strangers","Part 3: Wolf Hunt","After 1 day. Hunt wolves with Hamish. Watch for ambush!","","","","",""
"veteran-04","strangers","Part 4: Giant Boar Hunt","Final part. Hamish dies. Kill boar, inherit Buell.","","","Buell the Horse","YES",""
"widow-01","strangers","Part 1: First Meeting","Find Charlotte mourning her husband. Give her food.","","","","",""
"widow-02","strangers","Part 2: Hunting Lesson","After 1 day. Teach her to hunt rabbits with a rifle.","","","","",""
"widow-03","strangers","Part 3: Self-Defense","Final visit. She has learned to survive.","","","","YES",""
"albert-04","strangers","Cougars (Strawberry)","Final encounter. Save him from cougar attack.","","","$50","",""
"mary-01","strangers","Part 1: Help Her Brother","Chapter 2 letter. Rescue Jamie from Chelonians cult.","2","","","",""
"mary-02","strangers","Part 2: Her Father","Chapter 4. Meet in Saint Denis. Deal with father's debts.","4","","","",""
